,timestamp(hh:m:s.ms),gaze_x,gaze_y,gaze_z,Sgaze_x,Sgaze_y,Sgaze_z,REyePos_x,REyePos_y,LEyePos_x,LEyePos_y,yaw,pitch,roll,HeadPos_x,HeadPos_y
0,2023-10-20 16:24:58.343965,-0.2635541558265686,-0.11968166381120682,0.9571914672851562,277.0,839.0,0.0,48,113,135,112,1.983171,-6.945478,2.6687925,598,284
1,2023-10-20 16:24:58.645705,-0.2635541558265686,-0.11967027187347412,0.9571914672851562,2233.0,1042.0,0.0,52,115,140,113,2.9435544,0.6779747,2.2858875,597,281
2,2023-10-20 16:24:58.929118,-0.25234314799308777,-0.11967027187347412,0.9602093696594238,2180.0,1035.0,0.0,51,116,139,115,3.0559068,2.7718945,2.0593817,598,280
3,2023-10-20 16:24:59.145422,-0.03444107994437218,-0.0941486731171608,0.994962215423584,1388.0,932.0,0.0,51,116,139,114,2.3177595,1.5966864,2.2697828,598,281
4,2023-10-20 16:24:59.300920,-0.0048646279610693455,-0.08406084775924683,0.9963924884796143,1283.0,895.0,0.0,52,111,139,109,2.765512,-7.39361,2.1406376,597,285
5,2023-10-20 16:24:59.479345,0.011654958128929138,-0.07816224545240402,0.9967776536941528,1228.0,873.0,0.0,52,113,139,110,2.9457135,-6.6209,1.9237535,597,284
6,2023-10-20 16:24:59.633847,0.011654958128929138,-0.05293932557106018,0.9977095723152161,1229.0,785.0,0.0,51,113,138,110,3.517899,-6.932204,1.7735069,597,284
7,2023-10-20 16:24:59.833208,0.023325065150856972,-0.05293932557106018,0.9977095723152161,1191.0,786.0,0.0,51,113,138,111,4.0145516,-5.600498,2.1041696,597,284
8,2023-10-20 16:25:00.014615,0.023325065150856972,-0.05293932557106018,0.9983252882957458,1191.0,786.0,0.0,52,113,139,111,2.0452428,-7.2898273,1.9209392,599,284
9,2023-10-20 16:25:00.179079,0.044054921716451645,-0.05293932557106018,0.9977095723152161,1115.0,790.0,0.0,51,106,139,106,5.3778567,-14.865339,4.465274,609,288
10,2023-10-20 16:25:00.345546,0.044054921716451645,-0.054753437638282776,0.9968876838684082,1087.0,791.0,0.0,51,115,138,118,1.3337903,-5.641326,3.3867514,627,277
11,2023-10-20 16:25:00.501042,0.05539683252573013,-0.056090373545885086,0.9968633651733398,1003.0,789.0,0.0,57,107,145,112,12.733843,-7.8854165,4.273156,643,285
12,2023-10-20 16:25:00.677470,0.0899861752986908,-0.07867774367332458,0.9948605298995972,827.0,876.0,0.0,61,117,147,121,18.464985,5.6447115,3.099611,653,277
13,2023-10-20 16:25:00.893769,0.10803580284118652,-0.08453139662742615,0.9873756766319275,727.0,898.0,0.0,62,118,145,125,20.824764,5.593212,3.3544881,679,274
14,2023-10-20 16:25:01.124024,0.10918902605772018,-0.14476262032985687,0.9834536910057068,655.0,1117.0,0.0,62,113,145,123,18.718964,7.6485367,4.561447,695,278
15,2023-10-20 16:25:01.312426,0.133954256772995,-0.14542056620121002,0.9786690473556519,520.0,1120.0,0.0,66,106,151,117,26.713646,1.6304035,5.107237,702,285
16,2023-10-20 16:25:01.473892,0.13634580373764038,-0.14723338186740875,0.9781607389450073,495.0,1121.0,0.0,67,109,152,121,26.127323,5.5960283,4.720216,711,282
17,2023-10-20 16:25:01.628399,0.1113421693444252,-0.14723338186740875,0.9786690473556519,553.0,1123.0,0.0,65,106,148,117,20.160423,-0.51655865,5.242668,721,286
18,2023-10-20 16:25:01.831741,0.13634580373764038,-0.14723338186740875,0.9786690473556519,439.0,1131.0,0.0,63,101,147,113,24.087132,-2.74822,5.1167593,728,291
19,2023-10-20 16:25:01.983251,0.14148658514022827,-0.13801462948322296,0.9802721738815308,414.0,1103.0,0.0,63,103,146,114,24.208378,-2.7620423,4.995882,729,290
